Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase
1,0;198,0;184,0;0,93;-0,64;-18,7
2,0;192,0;160,0;0,83;-1,58;-33,0
2,5;192,0;144,0;0,75;-2,50;-38,9
2,7;192,0;140,0;0,73;-2,74;-41,9
2,9;190,0;136,0;0,72;-2,90;-44,0
3,0;190,0;132,0;0,69;-3,16;-45,4
3,1;190,0;130,0;0,68;-3,30;-45,8
3,2;190,0;128,0;0,67;-3,43;-46,3
3,5;188,0;120,0;0,64;-3,90;-48,0
4,0;188,0;112,0;0,60;-4,50;-52,4
5,0;188,0;96,0;0,51;-5,84;-58,0
10,0;184,0;52,8;0,29;-10,84;-71,6
15,0;184,0;36,0;0,20;-14,17;-77,8
18,0;184,0;30,0;0,16;-15,75;-79,5
20,0;184,0;26,8;0,15;-16,73;-80,0
22,0;184,0;24,4;0,13;-17,55;-80,3
25,0;184,0;22,0;0,12;-18,45;-81,9
30,0;184,0;18,4;0,10;-20,00;-83,1
50,0;184,0;10,8;0,06;-24,63;-84,6
100,0;184,0;5,5;0,03;-30,49;-85,2
