Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase
1;200;7,8;0,039;-28,17870786;88,300
2;200;16,2;0,081;-21,83029962;88,300
5;200;40;0,2;-13,97940009;78,500
10;200;76;0,38;-8,404328068;67,500
15;200;105;0,525;-5,596813932;58,100
18;200;118;0,59;-4,582959767;53,100
20;200;124;0,62;-4,15216621;50,000
22;200;134;0,67;-3,478503946;48,100
25;200;142;0,71;-2,974833026;44,200
30;200;154;0,77;-2,270185497;39,200
50;200;180;0,9;-0,915149811;26,200
100;200;192;0,96;-0,354575339;14,000
200;200;198;0,99;-0,087296108;6,910
500;200;200;1;0;3,240
1000;200;200;1;0;1,440
2000;200;200;1;0;0,864
5000;201;199;0,990049751;-0,08685962;0,540
10000;200;199;0,995;-0,043538385;0,540
50000;200;198;0,99;-0,087296108;0,288
100000;200;198;0,99;-0,087296108;0,359
