Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase;;;
10;201;200;0,995;-0,043;0;;;
20;201;200;0,995;-0,043;0;;;
50;201;200;0,995;-0,043;0;;;
100;201;200;0,995;-0,043;-0,36;;;
200;201;200;0,995;-0,043;-0,576;;;
500;201;200;0,995;-0,043;-1,8;;;
1000;201;200;0,995;-0,043;-3,24;;;
2000;201;199;0,99;-0,087;-6,91;;;
5000;200;199;0,995;-0,044;-17,8;;;
10000;200;193;0,965;-0,309;-37,4;;;
15000;200;180;0,9;-0,915;-56,8;;;
17000;200;172;0,86;-1,31;-65,1;;;
19000;200;163;0,815;-1,777;-73,8;;;
20000;200;156;0,78;-2,158;-76,9;;;
21000;200;152;0,76;-2,384;-80,1;;;
22000;200;145;0,725;-2,793;-84,3;;;
23000;200;140;0,7;-3,098;-87,7;;;
25000;200;128;0,64;-3,876;-93,6;;;
30000;199;101;0,508;-5,891;-108;;;
50000;198;41,8;0,211;-13,51;-137;;;
70000;202;22,4;0,110891089;-19,10206702;-152;;;
100000;200;10,8;0,054;-25,3521248;-160;;;
120000;200;7,44;0,0372;-28,5891412;-165;;;
150000;200;4,64;0,0232;-32,6902403;-166;;;
200000;200;3,04;0,0152;-36,36312824;-175;;;
210000;200;2,88;0,0144;-36,83275016;-178;;;
220000;200;2,4;0,012;-38,41637508;-179;;;
230000;200;1,84;0,0092;-40,72424345;-179;;;
