Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase;;;
10;19,6;19,6;1;0;0;;;
20;19,6;19,6;1;0;0;;;
50;19,6;19,6;1;0;0;;;
100;19,6;19,6;1;0;-0,36;;;
200;19,6;19,6;1;0;-0,72;;;
500;19,6;19,6;1;0;-2,52;;;
1000;19,6;19,4;0,989795918;-0,089086829;-3,6;;;
2000;19,6;18,6;0,948979592;-0,454862543;-11,5;;;
5000;19,8;18,2;0,919191919;-0,731876046;-21,5;;;
10000;19,8;17,4;0,878787879;-1,12231884;-40,3;;;
15000;19,6;15,8;0,806122449;-1,871979688;-60,5;;;
17000;19,6;14,8;0,755102041;-2,439887119;-67,5;;;
19000;19,6;13,8;0,704081633;-3,047539699;-75,9;;;
20000;19,6;13,4;0,683673469;-3,30302546;-79,2;;;
21000;19,4;12,8;0,659793814;-3,611835206;-82,4;;;
22000;19,4;12,4;0,639175258;-3,887600895;-87;;;
23000;19,4;11,8;0,608247423;-4,318394452;-88,5;;;
25000;19,4;10,8;0,556701031;-5,087559489;-97,2;;;
30000;19,4;8,6;0,443298969;-7,066065574;-107;;;
50000;19,4;3,68;0,189690722;-14,43907823;-138;;;
70000;19,2;1,94;0,101041667;-19,90998998;-149;;;
100000;19,2;0,96;0,05;-26,02059991;-162;;;
120000;19,2;0,664;0,034583333;-29,22266299;-164;;;
150000;19,2;0,416;0,021666667;-33,28415796;-170;;;
200000;19;0,216;0,011368421;-38,885997;-173;;;
210000;19;0,2;0,010526316;-39,55447211;-177;;;
220000;19;0,184;0,009684211;-40,27871556;-178;;;
230000;19,2;0,16;0,008333333;-41,58362492;-179;;;
250000;19,2;0,136;0,007083333;-42,99524641;-179;;;
