Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase;
10;0,2;20;100;40;1,44;
50;0,2;20;100;40;1,44;
100;0,2;20;100;40;0,72;
500;0,2;20;100;40;0,72;
1,00E+03;0,2;20;100;40;-0,721;
2,00E+03;0,2;20;100;40;-4,32;
5,00E+03;0,2;19,8;99;39,91270389;-9,36;
1,00E+04;0,2;18,4;92;39,27575655;-18,7;
1,20E+04;0,2;18,4;92;39,27575655;-21,6;
1,50E+04;0,2;17,6;88;38,88965344;-27,5;
1,70E+04;0,2;16,8;84;38,48558572;-30,6;
2,00E+04;0,2;16;80;38,06179974;-34,5;
2,20E+04;0,2;15,6;78;37,84189205;-37,9;
2,50E+04;0,2;14,8;74;37,38463439;-41,4;
5,00E+04;0,2;9,6;48;33,62482475;-60,3;
1,00E+05;0,2;5,44;27,2;28,69137808;-73,4;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
230000;;;;;;
250000;;;;;;
