Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase
10;0,2;2;10;20;0
50;0,2;2;10;20;0
100;0,2;2;10;20;0
500;0,2;2;10;20;0
1000;0,2;2;10;20;-0,36
2000;0,2;2;10;20;-0,72
5000;0,2;2;10;20;-1,44
10000;0,2;2;10;20;-2,16
12000;0,2;2;10;20;-2,59
15000;0,2;2;10;20;-3,24
17000;0,2;2;10;20;-3,67
20000;0,2;2;10;20;-4,31
22000;0,2;1,98;9,9;19,91270389;-4,44
25000;0,2;1,96;9,8;19,82452151;-4,68
50000;0,198;1,96;9,898989899;19,91181762;-9,36
100000;0,198;1,88;9,494949495;19,54985318;-20,8
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
230000;;;;;
250000;;;;;
