Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase
10;20,2;20;0,99009901;-0,086427476;-0,359
50;20,2;20;0,99009901;-0,086427476;0,36
100;20,2;20;0,99009901;-0,086427476;0,36
500;20;20;1;0;0
1,00E+03;20;20;1;0;0
2,00E+03;20;20;1;0;0
5,00E+03;20;20;1;0;0
1,00E+04;20;20;1;0;-0,36
1,20E+04;20;20;1;0;-0,431
1,50E+04;20;20;1;0;0
1,70E+04;20,2;20;0,99009901;-0,086427476;0
2,00E+04;20;20;1;0;-0,72
2,20E+04;20;20;1;0;-0,791
2,50E+04;20;20;1;0;-0,9
5,00E+04;20;20;1;0;-2,16
1,00E+05;20;19,6;0,98;-0,175478486;-3,6
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
230000;;;;;
250000;;;;;
